"Sample_ID","processed","status","error_message","timestamp"
"Patient-1",TRUE,"success","","2026-02-06 17:49:47"
"Patient-10",TRUE,"success","","2026-02-06 17:52:35"
"Patient-11",TRUE,"success","","2026-02-06 17:55:12"
"Patient-12",TRUE,"success","","2026-02-06 18:02:42"
"Patient-15",TRUE,"success","","2026-02-06 18:06:32"
"Patient-2",TRUE,"success","","2026-02-06 18:13:41"
"Patient-3",TRUE,"success","","2026-02-06 18:22:30"
"Patient-4",TRUE,"success","","2026-02-07 00:06:29"
"Patient-6",TRUE,"success","","2026-02-07 00:07:52"
"Patient-8",TRUE,"success","","2026-02-07 00:09:30"
